datetime,device,location,type,value,date,time,day,hour,activity
2019-09-22 13:39:40.175384+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,360,2019-09-22,13:39:40,1,13,True
2019-09-22 13:43:34.221687+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,135,2019-09-22,13:43:34,1,13,True
2019-09-22 13:45:13.101265+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,6,2019-09-22,13:45:13,1,13,False
2019-09-22 13:47:09.858619+00:00,c2a601d9-6,Lab middle room,Luminance,246,2019-09-22,13:47:10,1,13,True
2019-09-22 13:49:36.288242+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,13:49:36,1,13,False
2019-09-22 13:52:30.110544+00:00,c2a601d9-9,Gym lower,Luminance,48,2019-09-22,13:52:30,1,13,True
2019-09-22 13:59:47.167903+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,66,2019-09-22,13:59:47,1,13,True
2019-09-22 14:40:20.632865+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,180,2019-09-22,14:40:21,1,14,True
2019-09-22 14:40:20.708644+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,106,2019-09-22,14:40:21,1,14,True
2019-09-22 14:40:20.785997+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,14,2019-09-22,14:40:21,1,14,False
2019-09-22 14:40:20.862439+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,56,2019-09-22,14:40:21,1,14,True
2019-09-22 14:40:20.941304+00:00,c2a601d9-6,Lab middle room,Luminance,52,2019-09-22,14:40:21,1,14,True
2019-09-22 14:40:21.024916+00:00,c2a601d9-7,Bathroom,Luminance,48,2019-09-22,14:40:21,1,14,True
2019-09-22 14:41:03.234153+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,72,2019-09-22,14:41:03,1,14,True
2019-09-22 14:41:42.301604+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,149,2019-09-22,14:41:42,1,14,True
2019-09-22 14:41:50.759909+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,8,2019-09-22,14:41:51,1,14,False
2019-09-22 14:41:59.412282+00:00,c2a601d9-6,Lab middle room,Luminance,207,2019-09-22,14:41:59,1,14,True
2019-09-22 14:42:19.681142+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,14:42:20,1,14,False
2019-09-22 14:43:33.312905+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,149,2019-09-22,14:43:33,1,14,True
2019-09-22 14:45:12.153375+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,8,2019-09-22,14:45:12,1,14,False
2019-09-22 14:47:09.012888+00:00,c2a601d9-6,Lab middle room,Luminance,205,2019-09-22,14:47:09,1,14,True
2019-09-22 14:49:36.359196+00:00,c2a601d9-7,Bathroom,Luminance,42,2019-09-22,14:49:36,1,14,True
2019-09-22 14:52:29.146411+00:00,c2a601d9-9,Gym lower,Luminance,18,2019-09-22,14:52:29,1,14,False
2019-09-22 14:52:29.167376+00:00,c2a601d9-9,Gym lower,Luminance,18,2019-09-22,14:52:29,1,14,False
2019-09-22 14:59:45.151925+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,72,2019-09-22,14:59:45,1,14,True
2019-09-22 15:04:22.998785+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,180,2019-09-22,15:04:23,1,15,True
2019-09-22 15:04:23.111464+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,106,2019-09-22,15:04:23,1,15,True
2019-09-22 15:04:23.223539+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,14,2019-09-22,15:04:23,1,15,False
2019-09-22 15:04:23.335019+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,56,2019-09-22,15:04:23,1,15,True
2019-09-22 15:04:23.451842+00:00,c2a601d9-6,Lab middle room,Luminance,52,2019-09-22,15:04:23,1,15,True
2019-09-22 15:04:23.562717+00:00,c2a601d9-7,Bathroom,Luminance,48,2019-09-22,15:04:24,1,15,True
2019-09-22 15:19:28.211742+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,180,2019-09-22,15:19:28,1,15,True
2019-09-22 15:19:28.295922+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,106,2019-09-22,15:19:28,1,15,True
2019-09-22 15:19:28.380419+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,14,2019-09-22,15:19:28,1,15,False
2019-09-22 15:19:28.466694+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,56,2019-09-22,15:19:28,1,15,True
2019-09-22 15:19:28.558711+00:00,c2a601d9-6,Lab middle room,Luminance,52,2019-09-22,15:19:29,1,15,True
2019-09-22 15:19:28.667242+00:00,c2a601d9-7,Bathroom,Luminance,48,2019-09-22,15:19:29,1,15,True
2019-09-22 15:20:19.445880+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,778,2019-09-22,15:20:19,1,15,True
2019-09-22 15:20:56.790273+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,148,2019-09-22,15:20:57,1,15,True
2019-09-22 15:21:05.430879+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,7,2019-09-22,15:21:05,1,15,False
2019-09-22 15:21:14.803657+00:00,c2a601d9-6,Lab middle room,Luminance,185,2019-09-22,15:21:15,1,15,True
2019-09-22 15:21:26.102005+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,15:21:26,1,15,False
2019-09-22 15:43:32.378254+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,148,2019-09-22,15:43:32,1,15,True
2019-09-22 15:45:11.207687+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,6,2019-09-22,15:45:11,1,15,False
2019-09-22 15:47:08.157632+00:00,c2a601d9-6,Lab middle room,Luminance,158,2019-09-22,15:47:08,1,15,True
2019-09-22 15:49:34.432745+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,15:49:34,1,15,False
2019-09-22 15:52:28.134989+00:00,c2a601d9-9,Gym lower,Luminance,14,2019-09-22,15:52:28,1,15,False
2019-09-22 15:52:28.152752+00:00,c2a601d9-9,Gym lower,Luminance,14,2019-09-22,15:52:28,1,15,False
2019-09-22 15:53:25.084059+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,3,2019-09-22,15:53:25,1,15,False
2019-09-22 15:59:44.044407+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,774,2019-09-22,15:59:44,1,15,True
2019-09-22 16:43:31.437430+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,142,2019-09-22,16:43:31,1,16,True
2019-09-22 16:45:10.325645+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,7,2019-09-22,16:45:10,1,16,False
2019-09-22 16:47:07.206389+00:00,c2a601d9-6,Lab middle room,Luminance,135,2019-09-22,16:47:07,1,16,True
2019-09-22 16:49:33.728220+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,16:49:34,1,16,False
2019-09-22 16:52:28.062577+00:00,c2a601d9-9,Gym lower,Luminance,16,2019-09-22,16:52:28,1,16,False
2019-09-22 16:53:23.637025+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,13,2019-09-22,16:53:24,1,16,False
2019-09-22 16:59:43.141603+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,806,2019-09-22,16:59:43,1,16,True
2019-09-22 17:15:03.750305+00:00,c2a601d9-6,Lab middle room,Luminance,33,2019-09-22,17:15:04,1,17,True
2019-09-22 17:43:30.398123+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,134,2019-09-22,17:43:30,1,17,True
2019-09-22 17:45:09.191427+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,8,2019-09-22,17:45:09,1,17,False
2019-09-22 17:49:32.421290+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,17:49:32,1,17,False
2019-09-22 17:52:26.140451+00:00,c2a601d9-9,Gym lower,Luminance,14,2019-09-22,17:52:26,1,17,False
2019-09-22 17:53:22.859733+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,7,2019-09-22,17:53:23,1,17,False
2019-09-22 17:59:41.857132+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,802,2019-09-22,17:59:42,1,17,True
2019-09-22 18:15:01.715312+00:00,c2a601d9-6,Lab middle room,Luminance,41,2019-09-22,18:15:02,1,18,True
2019-09-22 18:43:29.428686+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,159,2019-09-22,18:43:29,1,18,True
2019-09-22 18:45:08.099451+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,17,2019-09-22,18:45:08,1,18,False
2019-09-22 18:49:31.421073+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,18:49:31,1,18,False
2019-09-22 18:52:25.088528+00:00,c2a601d9-9,Gym lower,Luminance,15,2019-09-22,18:52:25,1,18,False
2019-09-22 18:53:21.596991+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,15,2019-09-22,18:53:22,1,18,False
2019-09-22 18:59:40.917237+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,809,2019-09-22,18:59:41,1,18,True
2019-09-22 19:15:00.524178+00:00,c2a601d9-6,Lab middle room,Luminance,45,2019-09-22,19:15:01,1,19,True
2019-09-22 19:43:28.441681+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,153,2019-09-22,19:43:28,1,19,True
2019-09-22 19:45:07.161127+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,16,2019-09-22,19:45:07,1,19,False
2019-09-22 19:49:30.743108+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,19:49:31,1,19,False
2019-09-22 19:49:31.106304+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,19:49:31,1,19,False
2019-09-22 19:52:24.086674+00:00,c2a601d9-9,Gym lower,Luminance,15,2019-09-22,19:52:24,1,19,False
2019-09-22 19:53:20.578130+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,14,2019-09-22,19:53:21,1,19,False
2019-09-22 19:59:39.955592+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,805,2019-09-22,19:59:40,1,19,True
2019-09-22 20:14:59.314080+00:00,c2a601d9-6,Lab middle room,Luminance,45,2019-09-22,20:14:59,1,20,True
2019-09-22 20:43:27.515710+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,158,2019-09-22,20:43:28,1,20,True
2019-09-22 20:45:06.047054+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,16,2019-09-22,20:45:06,1,20,False
2019-09-22 20:49:29.425470+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,20:49:29,1,20,False
2019-09-22 20:52:23.052132+00:00,c2a601d9-9,Gym lower,Luminance,15,2019-09-22,20:52:23,1,20,False
2019-09-22 20:53:19.536235+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,12,2019-09-22,20:53:20,1,20,False
2019-09-22 20:59:39.011962+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,805,2019-09-22,20:59:39,1,20,True
2019-09-22 21:14:58.865753+00:00,c2a601d9-6,Lab middle room,Luminance,44,2019-09-22,21:14:59,1,21,True
2019-09-22 21:43:26.468913+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,163,2019-09-22,21:43:26,1,21,True
2019-09-22 21:45:05.051231+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,17,2019-09-22,21:45:05,1,21,False
2019-09-22 21:49:28.851295+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,21:49:29,1,21,False
2019-09-22 21:52:22.057397+00:00,c2a601d9-9,Gym lower,Luminance,15,2019-09-22,21:52:22,1,21,False
2019-09-22 21:53:18.608014+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,12,2019-09-22,21:53:19,1,21,False
2019-09-22 21:59:38.018933+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,798,2019-09-22,21:59:38,1,21,True
2019-09-22 22:14:58.793840+00:00,c2a601d9-6,Lab middle room,Luminance,44,2019-09-22,22:14:59,1,22,True
2019-09-22 22:43:25.469289+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,116,2019-09-22,22:43:25,1,22,True
2019-09-22 22:45:04.073844+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,17,2019-09-22,22:45:04,1,22,False
2019-09-22 22:49:27.440523+00:00,c2a601d9-7,Bathroom,Luminance,81,2019-09-22,22:49:27,1,22,True
2019-09-22 22:52:21.039622+00:00,c2a601d9-9,Gym lower,Luminance,33,2019-09-22,22:52:21,1,22,True
2019-09-22 22:53:17.626985+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,13,2019-09-22,22:53:18,1,22,False
2019-09-22 22:59:31.360860+00:00,c2a601d9-7,Bathroom,Luminance,87,2019-09-22,22:59:31,1,22,True
2019-09-22 22:59:37.008331+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,811,2019-09-22,22:59:37,1,22,True
2019-09-22 23:14:56.271295+00:00,c2a601d9-6,Lab middle room,Luminance,46,2019-09-22,23:14:56,1,23,True
2019-09-22 23:43:24.508375+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,0,2019-09-22,23:43:25,1,23,False
2019-09-22 23:45:03.120776+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,0,2019-09-22,23:45:03,1,23,False
2019-09-22 23:52:20.034107+00:00,c2a601d9-9,Gym lower,Luminance,9,2019-09-22,23:52:20,1,23,False
2019-09-22 23:53:16.599966+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,0,2019-09-22,23:53:17,1,23,False
2019-09-22 23:59:28.475558+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-22,23:59:28,1,23,False
2019-09-22 23:59:36.414297+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,0,2019-09-22,23:59:36,1,23,False
2019-09-23 00:14:55.274177+00:00,c2a601d9-6,Lab middle room,Luminance,0,2019-09-23,00:14:55,2,0,False
2019-09-23 00:43:23.519168+00:00,c2a601d9-4,Kitchen Lab Table,Luminance,0,2019-09-23,00:43:24,2,0,False
2019-09-23 00:45:01.976978+00:00,c2a601d9-5,Kitchen behind glovebox,Luminance,0,2019-09-23,00:45:02,2,0,False
2019-09-23 00:52:19.029480+00:00,c2a601d9-9,Gym lower,Luminance,9,2019-09-23,00:52:19,2,0,False
2019-09-23 00:53:15.700889+00:00,c2a601d9-3,Sleeping Quarters lower,Luminance,0,2019-09-23,00:53:16,2,0,False
2019-09-23 00:59:27.484590+00:00,c2a601d9-7,Bathroom,Luminance,0,2019-09-23,00:59:27,2,0,False
2019-09-23 00:59:35.391741+00:00,c2a601d9-2,Sleeping Quarters upper,Luminance,0,2019-09-23,00:59:35,2,0,False
